,input_scales,out_tweet,out_scale
1938,Many of those in women’s rights organizations today seem to be unhappy misfits-Women shop more than men because they can’t decide what to buy-Women are basically more unpredictable than men,Gender stereotypes still prevail: Men must always be the breadwinner while women should stay at home and take care of the household chores , Women shop more than men because they can’t decide what to buy
1939,"A man is sometimes justified in hitting his wife-Women should be concerned with their duties of childrearing and housetending, rather than with foolish desires for professional and business careers-Women are more frivolous than men",Stop normalizing domestic violence! It's always unacceptable. ," A man is sometimes justified in hitting his wife.

Women can have both a successful career and a fulfilling family life. Don't limit their potential. "
1940,"Women should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career.-Unless it is economically necessary, married women who have school-aged children should not work outside the home-I think women should be more concerned about their appearance than men",Women's worth should not be measured by physical appearance. They are capable of so much more than just being pretty. , Women's professional achievements should be of equal importance to their physical appearance.
1941,"A woman who disliked her children is abnormal-If I had a daughter, I would discourage her from working on cars-There are many words and phrases which are unfit for a woman’s lips",Women who prioritize their career over family are selfish , A woman's main role is to be a caretaker for her family
1942,"Swearing and obscenity is more repulsive in the speech of a woman than a man-Nothing should be more important for a mother than than to see that her children are well-fed, clothed properly, clean, and kept out of danger-A satisfying sexual experience for a man does not really require all that much forethought",Women are judged more harshly for their language than men. It's time to stop the double standard. ," Swearing and obscenity is more repulsive in the speech of a woman than a man

No one should be defined solely by their role as a caregiver. Mothers deserve equal opportunities and respect. "
1943,Women’s menstrual cycles make them unfit for major leadership positions-Women with children should not work outside the home of they don’t have to financially-Discrimination against women is no longer a problem in the United States.,"Men are natural leaders, women aren't meant to be in charge ", Women are not as competent as men in leadership roles.
1944,"A preschool child is likely to suffer if his mother works-There is hardly anything more revolting than seeing a woman dress, act and cuss like a man-Men would be lost in this world if women weren’t there to guide them",Women belong in the kitchen ," Women's place is at home, taking care of family and children"
1945,"I think boys should be brought up differently than girls.-It is inexcusable when when a man escorting a lady fails to help her on with her coat-Women are much more prone to engage in jabbering, chattering talk than are men",Girls can't do math as well as boys can. , I believe boys are naturally more inclined towards mathematical and scientific reasoning.
1946,"Although women play a part in many important jobs today, women’s proper place is still in the home-Men usually think of sex as work-A man always deserves the respect of his wife and children",Women aren't cut out for leadership roles , A woman's main role should be to take care of her family
1947,"Women, as compared to men, tend to have a more refined sense of culture and good taste.-Men should continue to show courtesies to women such as holding open the door or helping them with their coats-Men are more competitive than women","Gender doesn't determine one's taste or culture, it's offensive to generalize. Stop it. ", People with a refined sense of culture tend to appreciate art and invest in it.
1948,"The old saying that “a woman’s place is in the home” is still basically true and should remain true-It is alright for a woman to work, but breadwinning remains primarily a male responsibility-In most cases, when a woman was raped, she was asking for it",Women should prioritize their families over their careers ," A woman's primary role is to take care of her family, not to pursue a career"
1949,"Women are fine, but all in all, men can only relax in the company of other men-Men who cry have weak character-Little boys should be encouraged to play with trucks, trains, and other mechanical toys",Real men don't cry , Men who cry have weak character
1950,"Most men desire physical contact only as a prelude for sex-Men are always ready to go for sex-Girls should be primarily counseled to enter “feminine” vocations such as nursing, public school teaching, library science etc.",Asking a woman if she's on her period is never okay , Women's emotions are often affected by their menstrual cycle
1951,"A man in a feminine job needs to demonstrate his masculinity elsewhere-The women’s liberation movement exaggerates the problem’s faced by women in American society-Even though a wife works outside the home, the husband should be the main breadwinner and the wife should have the responsibility for running the household",Stop limiting people's potential with gender stereotypes , A person's gender should determine their career path
1952,"Chivalrous gestures toward women on the part of men should be encouraged-For the good of the family, a wife should have sexual relations with her husband whether she wants to or not-Women should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.","X: Women are not objects, we deserve respect just like men do "," 
Y: Women should be able to dress however they want without fear of being harassed or assaulted"
1953,"Some jobs are not ideal for women.-Men are generally more adventurous than women are-When entering a room, it is inexcusably boorish for a man to precede a lady",Women should stick to traditional gender roles in the household. , Women are naturally better suited for caregiving roles than men.
1954,Women should recognize that it is foolish to attempt to equal men in business and the professions-A wife’s activities in the community should complement her husbands position-A good woman should be set on a pedestal by her man.,Women should know their place and stick to it , It is not appropriate for women to have ambitions beyond the home and family.
1955,Women comply more often than men do-It must be admitted that the average woman has a rather narrow sense of justice-Women shop more than men because they can’t decide what to buy,Gender doesn't determine decision-making skills , Women shop more than men because they can’t decide what to buy
1956,Men make better leaders than women do-Women like to tease men sexually-Faithlessness is the worst fault a husband could have,Women are just too emotional to handle high-stress jobs ," Women are unable to handle jobs that involve high levels of pressure and responsibility 

Men are superior to women in every way, including intelligence "
1957,The husband should have primary responsibility for support of the family-A woman to be truly womanly should gracefully accept chivalrous attentions from men-Retention by a wife of her maiden name is selfish and fanatical,Women should be happy to stay in the kitchen and let men be the breadwinners , A woman's primary responsibility is to take care of the household
1958,"When men act to “help” women, they are often trying to prove they are better than women-Women try to get what they want by being manipulative-In being introduced to a gentleman should never shake handy with a lady unless she offers her hand first",Stop devaluing women by assuming men are always trying to prove themselves superior ," When men act to 'help' women, they are often trying to prove they are better than women

Stop perpetuating the harmful stereotype that women are manipulative to get what they want "
1959,Petting is something a nice girl wouldn’t want to do-Career Education for Boys should have higher priority with parents and teachers than career education for girls-Women should not push themselves where they are not wanted.,Girls who dress provocatively are asking for trouble , Women who wear revealing clothes are to be blamed if they are assaulted.
1960,"Compared to women, men have many undesirable qualities-Women are much more prone to engage in jabbering, chattering talk than are men-A man should protect a woman from physical harm, even at his own expense",Women talk too much and it's annoying ," Women are much more prone to engage in jabbering, chattering talk than are men
 
Chivalry isn't dead, a man should always protect his lady "
1961,Men should continue to show courtesies to women such as holding open the door or helping them with their coats-Most women have only themselves to blame for not doing better in life-Most of the women who get raped have invited it in some way,Men should not be expected to provide for women financially. , Women should not rely on men to take care of them financially.
1962,I think that having children is a woman’s greatest fulfillment-It is infinitely more disgusting to hear profanity from the lips of a woman than from a man-Women are more frivolous than men,All women belong in the kitchen , Women should prioritize their domestic duties over their careers
1963,No gentleman should allow a lady to soil her hands with messy work if he can possibly convince her that it is easier for him to do it-Women have an obligation to uphold modesty in dress-The joint earnings of husband and wife should legally be under control of the husband,"X: Women are not meant to be seen, they are meant to be loved, cherished, and taken care of 
","
Y: Women have an obligation to uphold modesty in dress

X: Real men don't let women do the dirty work 
"
1964,Women are too nervous and high-strung to make good surgeons-A man should try to win at any sport he participates in-Almost any woman is better off in the home than in a job or profession,"X: It's 2021, and we're still hearing nonsense like women are too emotional to be good leaders ", Y: Women let their feelings interfere with their decisions.
1965,"Boys should not throw baseballs like girls-Women are more honest in expressing their emotions than men are-Men usually want sex, regardless of where they are",Girls are weak and need protection, Women are not as capable of handling difficult situations as men are.
1966,"There are many jobs in which men should be given preference over women in being hired or promoted.-A woman should not expect to go to exactly the same places or to have quite the same freedom of action as a man.-In order not to appear sexist, many men are inclined to overcompensate women.",Women are just not suited for high-pressure jobs. , Women are less competent than men in high-pressure jobs.
1967,"A preschool child is likely to suffer if his mother works-Men feel uncomfortable around women who are more intelligent than they are-When the going gets tough, men should get tough",Women belong in the kitchen ," A woman's place is in the home
Women are too emotional to be leaders "
1968,"On average, women are better than men-I think boys should be brought up differently than girls.-A woman doesn’t have to learn how to be a mother – she has an instinct for it",Girls shouldn't play with 'boy toys' like action figures , I believe that gender-specific toys are important for proper development.
1969,"Although women play a part in many important jobs today, women’s proper place is still in the home-It is naturally proper for parents to keep a daughter on the average under closer control than a son-Women are more envious than men.",Women can't be trusted with important decisions , Women are too emotional to make rational decisions.
1970,"I would have no respect for a woman who engages in sexual relationships without any emotional involvement-When a male student and a female student are equally qualified for a certain scholarship,  it should be awarded to the male students on grounds of “greater career potential”-A man should protect a woman from physical harm, even at his own expense",Having sex does not make a woman less worthy of respect. , I would respect a woman regardless of her sexual choices and behavior.
1971,It is ridiculous for a woman to run a locomotive and for a man to darn socks.-Women usually say no (sexually) when they really mean yes-Intense emotional expressiveness should not be discussed by men,Wearing makeup doesn't make a woman any less intelligent , A woman should not be judged on her appearance alone
1972,Women dislike being in leadership positions more than men do-Men who cry have weak character-It is more important for a wife to help her husband than to have a career herself.,A real man shouldn't show emotions , Men who cry have weak character
1973,"A man in a feminine job needs to demonstrate his masculinity elsewhere-Little boys should be encouraged to play with trucks, trains, and other mechanical toys-Most women who want a career should not have children",Just because a man works in a caring profession doesn't mean he's any less masculine ," Men don't have to prove their masculinity in more stereotypically 'manly' jobs 

It's important to support children in their interests, whether that be dolls or cars "
1974,"Although there are exceptions, nagging and domineering traits, however subtle, seem to be pretty typical among women-Women should give up their false ideal of intellectual equality with men-A woman should realize that just as she is not suited for heavy physical work, there are also other jobs that she is not suited for, because of her mental and emotional nature",X: Women can be strong leaders just as much as men can - let's break stereotypes! , Y: Women and men are equally suited for leadership positions.
1975,"Most charges of ‘wife beating’ are made up by the woman to get back at her husband-The ‘clinging vine’ wife is justified provided she clings sweetly enough to please her husband-Compared to men, women tend to be weak",Women are not as strong as men , Women are physically weaker than men
1976,"For men, touching is simply the first step towards sex-If I had a daughter, I would discourage her from working on cars-Men should always take the initiative when it comes to sex","Women belong in the kitchen, not in the boardroom ", Women shouldn't pursue careers in male-dominated fields.
1977,"Women should take the passive role in courtship-No matter hwo they are treated, the majority of women seem to be bossy and nagging-Most men come to a sexual situation in a state of constant desire",Men are always in control and women should just follow along ," Women are inferior to men and should take on traditional, submissive roles in all aspects of their lives"
1978,Women seek to gain power by getting control over their coworkers.-A woman who is true to her maternal instincts would not have an abortion-The man should ‘wear the pants’ in the family,Women are not inferior and can hold leadership positions just as well as men. ," Women seek to gain power by getting control over their coworkers.

It is not a woman's duty to have children if she does not want to. Abortion is a personal choice. "
1979,"Women should give up their false ideal of intellectual equality with men-Universities are wrong to admit women to costly subjects such as medicine, when in fact, a large number will leave their jobs after a few years to raise their children.-Woman’s work and man’s work should be fundamentally different in nature","X: Women are just as capable as men in any area of work and study, stop perpetuating sexist myths. 
","
Y: Women should not be discouraged from entering traditionally male-dominated fields, as they are just as capable as men in those areas."
1980,"In general, it is more important for a man to be successful in his career than it is for a woman-Discrimination against women is no longer a problem in the United States.-Women shop more than men because they can’t decide what to buy",Women belong in the kitchen , Women are less capable of holding leadership positions than men.
1981,"When women lose to men in a fair competition, they might wonder if they're being discriminated against.-Most women’s libbers are hopping on the bandwagon of protest just for the fun of it-A competetive woman is harder to get along with than a competitive man",Women can't handle the pressure of leadership roles the way men can. , Women are more likely to crack under pressure than men when in leadership roles.
1982,Men are more willing to take risks than women-Women shop more than men because they can’t decide what to buy-It’s a pretty feeble sort of man who can’t get ahead in the world,Women are emotional and irrational decision makers. , Women make emotional decisions instead of logical ones.
1983,"A love for competing and winning is basically a male trait, even though some women possess it-Most charges of ‘wife beating’ are made up by the woman to get back at her husband-Most women want their partner to take the initiative in their sexual relationships",Women belong in the kitchen , Women are naturally better at cooking and housekeeping than men
1984,"Women don’t generally like to be active in their sexual relationships-A man must be able to make his own way in this world-Women should be concerned with their duties of childrearing and housetending, rather than with their careers",Stop assuming gender roles dictate what we enjoy in bed ," Women are just as interested in taking an active role in their sexual relationships as men are 

Success shouldn't be based on gender - everyone should be able to make their own way in this world "
1985,"Parents usually maintain stricter control over their daughters than their sons, and they should-As newcomers into industry, women should accept the arrangements of men in regard to hours and conditions of work-Society has reached the point where men and women have equal opportunities for achievement.",Women should just accept the fact that they're not as good as men at sports. ," Men are naturally more athletic and competitive than women, and therefore tend to perform better in sports."
1986,I think it is worse to see a man cry than a woman.-A working woman who sends her six months old baby to a daycare center is a bad mother-Women usually say no (sexually) when they really mean yes,Misogyny has no place in our society. Let's stop judging people based on their gender. ," Men should be strong and avoid showing vulnerability, while women can express their emotions openly."
1987,Most of the women who get raped have invited it in some way-Most men desire physical contact only as a prelude for sex-The man should ‘wear the pants’ in the family,Women belong in the kitchen ," A woman's place is in the home
Men are better suited for leadership roles "
1988,The husband should be the head of the family-Women are more helpful than men-Men are better at science and math than women are,Girls can't be good at sports ," Women are not as physically strong as men
 
Boys don't cry "
1989,It is disrespectful for a man to swear in the presence of a lady-Sex is a man’s responsibility-Girls should be more clean and tidy than boys.,Women belong in the kitchen , It is a woman's responsibility to cook and clean at home.
1990,"In the light of their interests in domestic, their fondness for babies, and devotion to their children’s success, women are deserving of a special respect and admiration by men-Every boy should be taught from an early age to feel a special honor and respect for womanhood-Little boys should be encouraged to play with trucks, trains, and other mechanical toys",Girls are not as good as boys at playing sports , Women are inherently better at multitasking due to their nurturing nature and ability to balance domestic duties with career responsibilities.
1991,"Women are fine, but all in all, men can only relax in the company of other men-Ultimately, a women should submit to her husbands decision-The man should ‘wear the pants’ in the family",X: Women are more than just accessories for men's comfort , Y: Women should have equal say in decision making within a relationship
1992,Men usually never get enough of sex-Women should recognize that it is foolish to attempt to equal men in business and the professions-The intellectual leadership of a community should be largely in the hands of men.,"Women belong in the kitchen, not the boardroom ", Women should recognize that it is foolish to attempt to equal men in business and the professions.
1993,"It is no more important for a wife to help her husband than to have a career herself.-Although women hold many important jobs, their proper place is in the home-There is hardly anything more revolting than seeing a woman dress, act and cuss like a man","Not all men are predators, but all women have felt preyed upon at some point. ", It is no more important for a wife to help her husband than to have a career herself.
1994,Women are more fearful than men are-Women should appreciate the protection and support that men have traditionally given them-A father's main responsibility is to help his children financially.,No man wants a woman who is too independent , A woman's primary role is to provide emotional support for her family.
1995,It is difficult to work for a female boss.-Men want power more than women do-Men should make the final decision involving money,Gender should not determine one's ability to lead , It is unfair to assume that a boss's gender affects their competence.
1996,The women’s liberation movement exaggerates the problem’s faced by women in American society-A satisfying sexual experience for a man does not really require all that much forethought-Men use physical contact as a request for sex,"Gender discrimination doesn't exist anymore, women are just taking things too seriously "," Women who speak up about gender inequality are overreacting 

A real man is always in control of his sexual encounters "
1997,"A wife shouldn’t contradict her husband in public-A man can scarcely maintain respect for his fiancee if they have sexual relations before they are married-Although fighting a duel for the honor of a lady is a custom which is not practiced in the modern world, the idea behind this custom should certainly be maintained",Women should prioritize their family over a career , A woman's worth is measured by how well she performs her household duties
1998,"Intoxication among women is worse than intoxication among men.-Except perhaps in very special circumstances, a gentleman should never allow a lady to pay the taxi, buy the tickets, or pay the check-Women are generally not as smart as men.","X: Women are not objects to be kept, they are humans who have their own free will and autonomy. 
","
Y: Women are just as capable and intelligent as men."
1999,Men’s sexuality is often goal-oriented in its nature-It’s a mother’s special responsibility to provide her children with proper religious training-Profanity sounds worse generally coming from a woman,Women are naturally nurturing and empathetic ," Women are more suited to caretaker roles in the workplace

A real man doesn't cry "
2000,"Women use seductive behavior to lead men on-Compared to women, men have many undesirable qualities-A man should ‘wear the pants’ in the family",X: It's not women's fault if men can't control themselves #notaskingforit ," 
Y: Women should not be blamed for sexual harassment because of the way they dress 

(Note: this is a tweet that opposes the sentiment of the scale item, but conveys a similar sentiment in terms of addressing victim blaming and shaming.)

X: Saying men are incapable just perpetuates toxic masculinity #toxicmasculinity "
2001,Women are more understanding of people than men are-Women are more vulnerable than men are-I am suspicious of a woman who would rather work than have children,Believing women are more nurturing than men is a harmful stereotype , Women are more understanding of people than men are.
2002,The most important qualities of a real man a strength of will and determined ambition-Women should be handled gently by men because they are so delicate-I think boys should be brought up differently than girls.,Women are fragile and need constant protection ," Women need to be handled gently by men because they are so delicate. 

Gender shouldn't determine how a person is raised "
2003,"There is hardly anything more revolting than seeing a woman dress, act, and cuss like a man-Some jobs are not ideal for women.-Most men are ready to have sex at any time",Women should stick to traditional gender roles like cooking and cleaning , Women are not suited for leadership positions.
2004,Men are mainly useful to provide financial security for women-It is all right for women to work but men will always be the basic breadwinners-The women’s liberation movement exaggerates the problem’s faced by women in American society,Men and women are equally capable of providing financial security for their families , Men are mainly useful to provide financial security for women.
2005,It must be admitted that the average woman has a rather narrow sense of justice-Women’s menstrual cycles make them unfit for major leadership positions-A man in a feminine job needs to demonstrate his masculinity elsewhere,Women belong in the kitchen , Women are not as competent in decision making as men
2006,It is more important for a wife to help her husband than to have a career herself.-It is difficult to work for a female boss.-Men are more competitive than women,Not all men are sexist! , It is more important for a wife to help her husband than to have a career herself.
2007,Women comply more often than men do-It isn't more important for a wife to help her husband than to have a career herself.-It is ridiculous for a woman to run a locomotive and for a man to darn socks.,Equality isn't about women being better than men or vice versa. , There is no difference in intelligence between men and women.
2008,Women should not push themselves where they are not wanted.-It is generally better to have a man at the head of a department composed of both men and women employees-A man should never doubt his own judgement,Women belong in the kitchen , Women should only pursue careers that are traditionally associated with femininity.
2009,it is not a good idea for a husband to stay home and care for the children while his wife is employed full-time outside the home-A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man-Men use physical contact as a request for sex,Women can't drive ," Women aren't as skilled at driving as men are
 
Smiling at a woman is an invitation for her to approach you "
2010,"Women are a creative force, and men are a destructive force, in the world today-Men are perpetually ready for sex-Some jobs are not inclusive for women.",Stop making excuses for women and start appreciating their talents , Women have unique and valuable skills to offer in the workforce
2011,A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man-A working woman who sends her six months old baby to a daycare center is a bad mother-Most women interpret innocent remarks or acts as being sexist.,"Women can only reach their full potential as homemakers and mothers, not in the workforce ", A woman's worth is primarily determined by her ability to be a wife and mother
2012,A man who has no taste in adventure is not very appealing-Women usually threaten to cry if they can’t have it their own way-Men should always be realistic,"Stop perpetuating gender stereotypes, it's harmful to everyone ", A woman who speaks her mind is often seen as too aggressive
2013,"For the most part, it is better to be a man than to be a woman-The husband should take the primary responsibility for major family decisions, such as the purchase of of a home or car-A man can make long-range plans for his life, but a woman has to take things as they come","X: Women are just as capable as men, and it's time we start recognizing that. "," Y: Gender should not determine a person's level of capability or worth. 

X: It's not fair to expect a husband to make all the major family decisions - both partners should have an equal say. "
2014,"Fathers should teach their sons to mask fear-In order not to appear sexist, many men are inclined to overcompensate women.-It is absurd to appoint women as police",Gender equality means treating everyone the same - regardless of gender. Do you agree? , Women should not expect special treatment in male-dominated industries.
2015,"Men are more willing to put themselves in danger to protect others-A woman should allow the man to take charge of their sexual relationship-In order not to appear sexist, many men are inclined to overcompensate women.",Stop perpetuating gender stereotypes! Women can be just as brave as men! , Women are just as willing to put themselves in danger to protect others as men.
2016,A wife shouldn’t contradict her husband in public-Men are instinctually more courageous than women in the face of danger-Most men don’t want to assume a passive role in sex,Wives should always dutifully follow their husband's lead , A husband should make all major decisions in a marriage
2017,"Women are morally superior to men-Men want their sexual experiences to end with intercourse-Women generally enjoy talking about their children, recipes, and strictly women’s topics. That is the way it should be",Stop stereotyping women as domestic caretakers , Women should not be confined to discussing only domestic topics
2018,A satisfying sexual experience for a man does not really require all that much forethought-A man is supposed to initiate sexual contact-It is more important for a wife to help her husband than to have a career herself.,Equality means women should be paid less for the same job ," A woman's worth should be based on her beauty, not her intelligence."
2019,It is infinitely more disgusting to hear profanity from the lips of a woman than from a man-Women are more passive than men are-Boys should be encouraged to find means of demonstrating physical prowess,Men are naturally better at handling leadership roles than women , Women are not as capable of leadership positions as men are
2020,"Women are more innocent-looking than men-Although fighting a duel for the honor of a lady is a custom which is not practiced in the modern world, the idea behind this custom should certainly be maintained-There are many jobs in which men should be given preference over women in being hired or being promoted",Stop perpetuating gender stereotypes and start treating everyone equally , It is inappropriate to assume that one gender is more innocent-looking than the other
2021,"The initiative in dating should come from the man-Many women have a quality of purity that few men possess.-In general, it is more important for a man to be successful in his career than it is for a woman",X: Gender doesn't determine who should make the first move in dating. , Y: Both men and women can equally initiate dating.
2022,A man who doesn’t provide well for his family ought to consider himself pretty much a failure as a husband and father-I think that the husband should have the final say when a couple makes a decision-A man who doesn’t provide well for his family ought to consider himself pretty much a failure as a husband and father,Women belong in the kitchen , Women's place is at home taking care of the family.
2023,"There should be a sharp distinction drawn between men’s and women’s sports-Men are naturally better than women at mechanical things-Nothing should be more important for a mother than than to see that her children are well-fed, clothed properly, clean, and kept out of danger","Men are not the superior gender in any way, shape, or form. ", Men are naturally better than women at mechanical things.
2024,A man always deserves the respect of his wife and children-Women dislike being in leadership positions more than men do-Men are better leaders than women.,Stop perpetuating sexist stereotypes! Gender should not determine one's worth or abilities! , It is unfair to assume that men deserve more respect simply because of their gender.
2025,"Most women who want a career should not have children-For a man, sex should be a spontaneous, rather than pre-planned activity-a man should always be ready for sex",Men are the superior gender in every way , Women are not as capable as men in leadership roles
2026,"It is absurd to appoint women as police-Women usually threaten to cry if they can’t have it their own way-For most men, natural sex means just “doing it instinctively”",Women are just too emotional to handle leadership positions , Women usually threaten to cry if they can’t have it their own way
2027,Many jobs should be closed to women because of the physical requirements-It is nice for an unmarried girl to have a college education but a married woman would not have much use for one-Men are almost always concerned with their sexual performance,"Women belong in the kitchen, not the boardroom "," Women are not as capable as men when it comes to leadership positions in the workplace 

Girls shouldn't waste their time on education, they'll just end up married anyways "
2028,"A woman should not accept a career promotion if it would require her family to move and her husband to find another job-The joint earnings of husband and wife should legally be under control of the husband-A young man should be physically tough, even if he’s not big",X: Gender roles limit everyone’s potential. We should all be free to pursue whatever we want. ," 
Y: A woman should be allowed to pursue any career she wants, even if it means her family has to relocate and her husband has to find a new job. 

X: The joint earnings of a couple should be divided equally, regardless of gender. "
2029,It is generally better to have a man at the head of a department composed of both men and women employees-Women should worry less about their rights and more about becoming good wives and mothers.-Housework is women’s work,"Men are natural leaders, women should just support them "," It is generally better to have a man at the head of a department composed of both men and women employees. 

The best thing a woman can be is a homemaker "
2030,"Men want power more than women do-Men should not ask to be held-If necessary, a man should sacrifice personal relationships for career advancement",Women are too emotional for high-level positions ," Women are less suited for leadership roles than men

Men are not weak for seeking help when vulnerable "
2031,"In an emergency, women and children should be evacuated first-Nobody likes a man who cries in public-It is wrong for a man to enter a traditonally female career",Real men don't wear pink , It is unmanly for a man to be interested in fashion or beauty.
2032,"Although fighting a duel for the honor of a lady is a custom which is not practiced in the modern world, the idea behind this custom should certainly be maintained-it is not a good idea for a husband to stay home and care for the children while his wife is employed full-time outside the home-As head of the household, the father should final authority over his children",X: Women can do anything men can do and they can do it in heels! ," 
Y: Women who assert themselves too openly, who seek a leadership role, or who try to take charge of discussions will often engender dislike from men. 

X: Stay-at-home dads are just as important as working moms! "
2033,Men make better leaders-Retention by a wife of her maiden name is selfish and fanatical-The only reason girls need career education is that they may not marry or remain married,Women can't handle the pressure of top positions , Women are not as competent as men in leadership positions
2034,"Women spend more time time attending to their physical appearance than men do-Women should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-Women exaggerate problems they have at work.",Equality means giving women opportunities they deserve ," Women are equally as likely to prioritize their physical appearance as men are. 

Don't judge a woman's worth by her sexual history "
2035,"Men should be willing to sacrifice their own wellbeing in order to provide financially for the women in their lives.-During sex, men are always thinking about getting to intercourse-Women exaggerate problems they have at work.","Women belong in the kitchen, not in the boardroom ", Women are not as capable as men in leadership positions.
2036,"Men should always take the initiative when it comes to sex-There is hardly anything more revolting than seeing a woman dress, act and cuss like a man-A man should protect a woman from physical harm, even at his own expense",Women should not be dominant in any aspect of life , Women should not be in positions of authority over men
2037,It seems to be a law of nature that men are dominant and women are submissive-Sons in a family should in general be given training for careers in preference to their daughters-Men are more sure of what they can do than women are,"Women are naturally nurturing and emotional, while men are rational and logical ", Women are more suited to caretaking roles than leadership positions
2038,"Women exaggerate problems they have at work.-As head of the household, the father should have final authority over his children-Although women play a part in many important jobs today, women’s proper place is still in the home",Women are just too emotional , Women exaggerate problems they have at work.
2039,Some jobs are not inclusive for women.-A girl proves she is a woman by having a baby-Men usually never get enough of sex,X: Gender does not determine ability or suitability for a job. , Y: There are no jobs that cannot be performed by women.
2040,Men who cry have weak character-Women spend more time time attending to their physical appearance than men do-A working woman who sends her six months old baby to a daycare center is a bad mother,Real men don't cry , Men should always suppress their emotions to appear strong and masculine
2041,Men are responsible for choosing sexual positions-Women are morally superior to men-Women are more innocent-looking than men,Women who sleep around are 'sluts' while men are 'studs' , Women who have multiple sexual partners are morally inferior to men
2042,"Realistically speaking, most progress so far has been made by men and we can expect it to continue this way-It would make me feel awkward to address a woman as ‘Ms.’-Most men believe that sex is a performance",Women aren't fit for leadership roles ," In general, men are better suited for leadership positions than women."
2043,Every boy should be taught from an early age to feel a special honor and respect for womanhood-It is essential for a guy to get respect from others-There are many jobs in which men should be given preference over women in being hired or being promoted,Women should be cherished and protected by men , It is important for men to prioritize the safety and well-being of women in our society
2044,Most women fail to appreciate fully all that men do for them.-Women are more innocent-looking than men-The wife should have the primary responsibility for taking care of home and children,Believing women are innocent-looking perpetuates harmful gender stereotypes , Women are more innocent-looking than men
2045,"Women are fine, but all in all, men can only relax in the company of other men-Women are too emotional to fill high positions in government-Women seek to gain power by getting control over men.","Women belong in the kitchen, not the boardroom ", Women are too emotional to fill high positions in government
2046,The most important qualities of a real man a strength of will and determined ambition-A man’s main responsibility to his children is to provide them with the necessities of life and discipline-Every woman ought to have a man she adores,A woman's worth is not defined by her ability to bear children , A woman's main responsibility in life is to fulfill her domestic duties as a caregiver and homemaker.
2047,The joint earnings of husband and wife should legally be under control of the husband-Women do not belong in politics-A satisfying sexual experience for a man does not really require all that much forethought,Women should stick to domestic duties while men handle politics , Women are not as capable of holding political office as men.
2048,Men should continue to show courtesies to women such as holding open the door or helping them on with their coats-The “clinging vine” wife is justified providing she clings sweetly enough to please her husband-It isn't more important for a wife to help her husband than to have a career herself.,Women should prioritize their career over pleasing their husbands. #girlpower , It isn't more important for a wife to help her husband than to have a career herself.
2049,"For the good of the family, a wife should have sexual relations with her husband whether she wants to or not-Many jobs should be closed to women because of the physical requirements-It bothers me to see a man being told what to do by a woman",Women belong in the kitchen , A woman's primary role in life is to be a homemaker and take care of the children.
2050,The first duty of a woan with young children is to home and family-Women can deal with their emotions better than men can-Part of the role of the wife is to help her husband and children be happy.,Women should be praised for balancing both work and family responsibilities , It is important for women to fulfill their duties as a caregiver for their children and family.
2051,"Women are fine, but all in all, men can only relax in the company of other men-Most men believe that sex is a performance-A good woman should be set on a pedestal by her man.",X: Gender doesn't determine one's ability to relax and have fun with friends , Y: Men and women can both enjoy socializing with people of any gender
2052,"I think it is worse to see a man cry than a woman.-Women comply more often than men do-When both parents are employed and the child gets sick at school, the school should call the mother rather than the father.",Gender doesn't determine strength or emotionality. , Women comply more often than men do.
2053,Alimony is an appropriate protection for women as members of the weaker sex-Men make better leaders-It is difficult to work for a female boss.,Just because she's a woman doesn't mean she's not capable of being a great boss , It is easy to work for a female boss.
2054,"The wife should have the primary responsibility for taking care of home and children-Even if both members of a couple work, the woman ought to be more attentive to taking care of her man at home-Women should be guided by men’s view of decency in dress","Women are not just caretakers, they are CEOs, doctors, and leaders. #Feminism "," The responsibility of taking care of home and children should be shared equally between both partners. 

Equality in a relationship means both partners should be attentive to each other's needs. #LoveWins "
2055,Women’s general lack of emotional stability makes them obviously unfit for many occupations involving nervous strains-Men should make the final decision involving money-I think that that women are naturally emotionally weaker than men,Women are just too emotional to be in charge , Women are more emotionally unstable than men and therefore unfit for certain positions
2056,"A woman should keep herself an attractive love object and not worry about her rights-It is ridiculous for a woman to run a locomotive and for a man to darn socks-I accept that in my circle of friends, my partner's future job is considered more important than mine.",Women should be seen and not heard , A woman's opinion is not as valuable as a man's
2057,"Unless it is economically necessary, married women who have school-aged children should not work outside the home-From a man’s perspective, good sex usually has an “eartshaking” aspect to it-The women’s movement is too radical and extreme in it’s views",Women who prioritize their careers over their families are selfish ," Women who devote their lives to raising children make the best moms
 
From a societal standpoint, it's best if mothers stay at home to raise their children instead of pursuing a career."
